,open,high,low,close,volume
2024-10-17 04:00:00,578.7100,579.4000,578.0000,579.4000,1510
2024-10-17 04:05:00,579.0100,579.8100,578.7600,579.4000,1311
2024-10-17 04:10:00,579.4000,579.6000,579.2000,579.4300,1027
2024-10-17 04:15:00,579.4300,579.7700,579.2000,579.2700,534
2024-10-17 04:20:00,579.3400,579.6300,579.2000,579.5800,159
2024-10-17 04:25:00,579.7600,580.0600,579.6600,580.0600,1755
2024-10-17 04:30:00,580.0600,580.3400,580.0100,580.3400,209
2024-10-17 04:35:00,580.3400,581.0000,580.3400,581.0000,830
2024-10-17 04:40:00,581.0000,581.2200,580.8100,581.0000,1071
2024-10-17 04:45:00,581.2300,581.2300,580.8300,581.2300,254
2024-10-17 04:50:00,581.2000,581.2900,580.9500,581.2300,831
2024-10-17 04:55:00,581.1000,581.3800,580.9800,581.0000,784
2024-10-17 05:00:00,581.0000,581.4300,581.0000,581.4100,483
2024-10-17 05:05:00,581.4300,581.4500,581.1800,581.2300,242
2024-10-17 05:10:00,581.2600,581.3900,580.8000,581.0000,989
2024-10-17 05:15:00,580.8000,580.9800,580.8000,580.8200,249
2024-10-17 05:20:00,580.8100,581.2300,580.8000,581.0900,668
2024-10-17 05:25:00,581.0900,581.2300,581.0200,581.2200,491
2024-10-17 05:30:00,581.0400,581.2300,580.8300,580.9900,298
2024-10-17 05:35:00,580.8300,580.9500,580.8000,580.8500,402
2024-10-17 05:40:00,581.0000,581.2300,580.8100,581.0000,455
2024-10-17 05:45:00,581.0000,581.2200,580.9900,581.2200,215
2024-10-17 05:50:00,581.2300,581.5300,581.2300,581.2700,665
2024-10-17 05:55:00,581.2700,581.4400,581.0400,581.2400,653
2024-10-17 06:00:00,581.5000,581.6700,581.3900,581.5900,284
2024-10-17 06:05:00,581.6000,581.7300,581.4500,581.7300,241
2024-10-17 06:10:00,581.6000,581.8600,581.4600,581.7300,426
2024-10-17 06:15:00,581.7800,582.4000,581.7800,582.2600,1393
2024-10-17 06:20:00,582.0500,582.2800,581.8000,581.9500,960
2024-10-17 06:25:00,581.8000,581.9600,581.6800,581.7000,296
2024-10-17 06:30:00,581.5100,581.7700,581.2600,581.6900,1144
2024-10-17 06:35:00,581.6900,582.0300,581.5100,582.0300,1966
2024-10-17 06:40:00,582.0500,582.2800,582.0500,582.2800,403
2024-10-17 06:45:00,582.4000,582.6500,582.3200,582.4100,1573
2024-10-17 06:50:00,582.4100,582.5100,582.2500,582.5000,3082
2024-10-17 06:55:00,582.4100,582.6300,582.0900,582.0900,3157
2024-10-17 07:00:00,582.0900,582.4500,580.8200,580.9900,7112
2024-10-17 07:05:00,580.9700,581.4900,580.1300,580.6900,2329
2024-10-17 07:10:00,580.7200,581.5000,580.7200,581.0400,2054
2024-10-17 07:15:00,581.0400,581.3100,581.0000,581.3000,2370
2024-10-17 07:20:00,581.3100,581.4400,580.1600,580.3300,5236
2024-10-17 07:25:00,580.3300,580.3300,580.0800,580.3300,1776
2024-10-17 07:30:00,580.4000,580.5000,580.3500,580.4500,1405
2024-10-17 07:35:00,580.4500,580.4900,580.1900,580.2300,1326
2024-10-17 07:40:00,580.2500,580.2500,580.0300,580.0300,1566
2024-10-17 07:45:00,580.0600,580.2600,580.0000,580.1100,2347
2024-10-17 07:50:00,580.0900,580.4700,580.0300,580.3400,492
2024-10-17 07:55:00,580.4500,580.5200,580.0600,580.4100,1093
2024-10-17 08:00:00,581.8000,582.4400,576.0000,580.0200,23545
2024-10-17 08:05:00,576.7900,580.4800,576.7900,580.3700,1698
2024-10-17 08:10:00,580.4800,581.0500,580.1200,580.7250,3332
2024-10-17 08:15:00,581.0189,581.0500,580.2100,580.4500,2065
2024-10-17 08:20:00,580.6750,581.1100,580.1000,580.2500,3464
2024-10-17 08:25:00,580.1350,580.2500,576.7900,579.6700,349953
2024-10-17 08:30:00,579.9000,581.0000,579.7000,580.7000,6379
2024-10-17 08:35:00,580.6100,581.9300,580.5000,581.3900,10639
2024-10-17 08:40:00,581.3300,581.7200,580.6200,580.7600,3842
2024-10-17 08:45:00,580.7000,581.5200,580.3000,581.3400,4805
2024-10-17 08:50:00,581.3400,582.2500,581.1600,581.4438,7634
2024-10-17 08:55:00,581.6050,581.8800,581.0300,581.7450,5683
2024-10-17 09:00:00,581.8800,586.0250,576.8400,581.7500,4367
2024-10-17 09:05:00,581.7500,583.0000,581.6800,582.6700,14371
2024-10-17 09:10:00,582.5650,582.9400,581.3200,581.8000,4621
2024-10-17 09:15:00,581.9300,582.3500,581.4100,582.3000,3944
2024-10-17 09:20:00,582.0550,582.3000,581.5000,581.8000,4286
2024-10-17 09:25:00,581.7000,584.0000,581.4000,583.6300,14697
2024-10-17 09:30:00,583.3300,584.9700,579.4500,580.9200,598144
2024-10-17 09:35:00,580.7200,580.8700,578.5200,579.8030,199301
2024-10-17 09:40:00,579.8000,580.5800,577.3600,578.3100,198147
2024-10-17 09:45:00,578.2500,578.8200,577.7100,578.0000,98435
2024-10-17 09:50:00,577.9600,579.1000,577.5000,577.9800,136115
2024-10-17 09:55:00,578.0000,578.3999,576.2700,577.5300,138063
2024-10-17 10:00:00,577.6600,578.4500,575.5500,575.9900,123799
2024-10-17 10:05:00,576.1433,577.3299,575.7500,575.7850,106859
2024-10-17 10:10:00,575.8700,576.9200,575.2000,576.6001,86021
2024-10-17 10:15:00,576.7300,577.6000,576.4900,577.1050,121819
2024-10-17 10:20:00,577.1500,578.5500,576.7900,578.0000,98409
2024-10-17 10:25:00,577.9000,578.4133,576.3300,577.3144,99925
2024-10-17 10:30:00,577.3400,578.4000,577.3001,578.0800,64388
2024-10-17 10:35:00,578.0450,578.2200,577.0800,577.9500,69586
2024-10-17 10:40:00,577.8600,578.7500,576.7750,577.4550,114094
2024-10-17 10:45:00,577.4500,577.9500,576.5000,576.9000,60846
2024-10-17 10:50:00,576.8801,577.2599,576.0600,576.5000,56509
2024-10-17 10:55:00,576.6650,576.8450,576.1800,576.6699,51286
2024-10-17 11:00:00,576.5500,577.2800,575.4700,575.5200,129899
2024-10-17 11:05:00,575.5200,577.5250,575.4700,577.2750,72533
2024-10-17 11:10:00,577.2750,578.1285,576.9500,578.0350,83062
2024-10-17 11:15:00,578.0590,578.1899,577.5000,577.7200,52736
2024-10-17 11:20:00,577.5600,578.4000,577.4000,578.2600,84104
2024-10-17 11:25:00,578.1640,579.4300,578.1400,578.6450,98612
2024-10-17 11:30:00,578.7400,579.6499,578.7400,579.6499,74295
2024-10-17 11:35:00,579.5750,579.9900,578.8500,579.9200,55612
2024-10-17 11:40:00,579.9850,580.5000,579.8355,580.1300,66991
2024-10-17 11:45:00,580.1250,580.4999,579.6600,580.2500,78330
2024-10-17 11:50:00,580.2800,581.3300,580.1200,581.0450,76993
2024-10-17 11:55:00,581.0534,581.9100,580.8501,581.7743,65788
2024-10-17 12:00:00,581.9200,582.2100,581.1800,581.2400,70082
2024-10-17 12:05:00,581.3450,581.7799,580.6900,580.8100,46982
2024-10-17 12:10:00,580.8101,581.1100,580.6165,580.9250,43265
2024-10-17 12:15:00,580.9200,581.7600,580.9000,581.2200,75990
2024-10-17 12:20:00,581.3100,581.6132,580.4100,580.7000,41613
2024-10-17 12:25:00,580.5900,580.6643,580.1407,580.3650,43820
2024-10-17 12:30:00,580.2200,580.2200,579.0100,579.6800,59358
2024-10-17 12:35:00,579.5700,580.1900,579.4393,579.9650,44109
2024-10-17 12:40:00,579.9600,580.5900,579.9000,580.4400,58976
2024-10-17 12:45:00,580.5400,580.5400,580.0101,580.3500,22138
2024-10-17 12:50:00,580.3200,580.4588,579.9064,580.1000,30944
2024-10-17 12:55:00,580.0600,580.2557,579.0400,579.6400,41616
2024-10-17 13:00:00,579.5700,580.8700,579.4300,580.8600,54336
2024-10-17 13:05:00,580.7011,581.1300,580.2001,580.3900,44767
2024-10-17 13:10:00,580.4368,580.5000,579.6944,580.0099,70106
2024-10-17 13:15:00,580.0900,580.0900,579.5100,579.6000,32031
2024-10-17 13:20:00,579.7500,579.7857,579.4900,579.6000,35465
2024-10-17 13:25:00,579.5600,579.7900,579.4900,579.5501,36633
2024-10-17 13:30:00,579.6150,579.7300,579.4800,579.6900,57807
2024-10-17 13:35:00,579.6900,580.0850,579.4501,579.6599,47110
2024-10-17 13:40:00,579.6499,580.0642,579.5500,579.8512,45420
2024-10-17 13:45:00,579.9900,580.0650,579.6800,579.7700,42133
2024-10-17 13:50:00,579.7502,580.1000,579.2600,579.5050,31425
2024-10-17 13:55:00,579.3600,579.3700,578.8200,579.0400,56285
2024-10-17 14:00:00,578.9525,578.9900,577.7506,577.8350,57785
2024-10-17 14:05:00,577.7600,577.9576,576.7100,576.7900,111320
2024-10-17 14:10:00,576.8000,577.9700,576.7050,577.6300,71650
