,open,high,low,close,volume
2024-10-17 04:00:00,138.2000,139.2400,137.0500,139.2000,484293
2024-10-17 04:05:00,139.2000,139.4000,139.0700,139.1400,182536
2024-10-17 04:10:00,139.1300,139.3300,139.0500,139.2800,99364
2024-10-17 04:15:00,139.2800,139.3000,139.0000,139.0000,115213
2024-10-17 04:20:00,139.0000,139.1000,138.9100,138.9100,56198
2024-10-17 04:25:00,138.9300,139.1800,138.9000,139.1400,106602
2024-10-17 04:30:00,139.1300,139.3100,139.0800,139.2700,73503
2024-10-17 04:35:00,139.2600,139.3000,139.1700,139.2100,51565
2024-10-17 04:40:00,139.2000,139.3000,139.0600,139.2600,49799
2024-10-17 04:45:00,139.2500,139.2600,139.1000,139.2300,53378
2024-10-17 04:50:00,139.2300,139.2300,139.0500,139.1400,53780
2024-10-17 04:55:00,139.1200,139.2100,138.8300,139.1900,122362
2024-10-17 05:00:00,139.1800,139.3200,139.1600,139.2800,101808
2024-10-17 05:05:00,139.2800,139.2900,139.0400,139.0400,25547
2024-10-17 05:10:00,139.0700,139.0800,138.8800,139.0100,87419
2024-10-17 05:15:00,139.0300,139.0600,138.9800,139.0500,66041
2024-10-17 05:20:00,139.0500,139.1300,138.9500,139.0100,65561
2024-10-17 05:25:00,139.0000,139.0300,138.8500,138.8800,63659
2024-10-17 05:30:00,138.9000,138.9000,138.6900,138.6900,48790
2024-10-17 05:35:00,138.6900,138.8200,138.6000,138.8200,64613
2024-10-17 05:40:00,138.8200,138.8400,138.6700,138.7400,38920
2024-10-17 05:45:00,138.7800,138.7900,138.6000,138.6500,28187
2024-10-17 05:50:00,138.6500,138.9500,138.6400,138.9400,59613
2024-10-17 05:55:00,138.9300,138.9700,138.8700,138.9000,29251
2024-10-17 06:00:00,138.9000,138.9800,138.8900,138.9600,43850
2024-10-17 06:05:00,138.9700,139.0500,138.9500,139.0500,45400
2024-10-17 06:10:00,139.0500,139.1500,139.0000,139.1300,48194
2024-10-17 06:15:00,139.1300,139.2400,139.1200,139.1400,76802
2024-10-17 06:20:00,139.1400,139.3200,139.1400,139.2800,101880
2024-10-17 06:25:00,139.2900,139.3300,139.2600,139.3000,54961
2024-10-17 06:30:00,139.3100,139.3700,139.3000,139.3300,59553
2024-10-17 06:35:00,139.3200,139.3400,139.2000,139.2500,46407
2024-10-17 06:40:00,139.2500,139.3600,139.2500,139.3100,41363
2024-10-17 06:45:00,139.3100,139.8000,139.3100,139.7600,228706
2024-10-17 06:50:00,139.7500,140.2400,139.7400,140.0100,537463
2024-10-17 06:55:00,140.0200,140.3000,139.9800,140.0700,228401
2024-10-17 07:00:00,140.0700,140.0900,139.5600,139.7500,580710
2024-10-17 07:05:00,139.7700,139.8500,139.7500,139.8100,174850
2024-10-17 07:10:00,139.8000,139.8300,139.6000,139.7300,122528
2024-10-17 07:15:00,139.7300,139.9900,139.6900,139.9300,225220
2024-10-17 07:20:00,139.9200,139.9600,139.9000,139.9100,135725
2024-10-17 07:25:00,139.9100,139.9100,139.7000,139.8500,90262
2024-10-17 07:30:00,139.8400,139.9500,139.6500,139.9100,194217
2024-10-17 07:35:00,139.9100,139.9400,139.7400,139.9000,123379
2024-10-17 07:40:00,139.8800,139.9200,139.7900,139.8300,84760
2024-10-17 07:45:00,139.8300,139.8400,139.7800,139.7900,43167
2024-10-17 07:50:00,139.7800,139.9000,139.7400,139.9000,100650
2024-10-17 07:55:00,139.8800,140.0200,139.8800,139.9500,482874
2024-10-17 08:00:00,139.9500,140.2300,135.4000,139.9300,2905557
2024-10-17 08:05:00,139.9200,139.9595,135.7200,139.8676,170274
2024-10-17 08:10:00,139.8600,139.8700,139.7900,139.8200,178922
2024-10-17 08:15:00,139.8024,139.8500,139.6600,139.6990,217118
2024-10-17 08:20:00,139.6991,139.7900,139.6500,139.7000,216767
2024-10-17 08:25:00,139.7100,139.8000,139.6500,139.7700,207534
2024-10-17 08:30:00,139.7900,139.9500,139.7200,139.9000,387429
2024-10-17 08:35:00,139.8800,140.0500,139.7400,139.7800,775556
2024-10-17 08:40:00,139.7650,139.9001,139.7500,139.8100,271898
2024-10-17 08:45:00,139.8100,139.9500,139.7900,139.8600,243028
2024-10-17 08:50:00,139.8600,139.9700,139.8600,139.9000,185677
2024-10-17 08:55:00,139.9005,139.9600,139.8800,139.9350,222371
2024-10-17 09:00:00,139.9400,140.2100,132.7850,140.1100,706437
2024-10-17 09:05:00,140.1100,140.2000,140.0200,140.2000,360591
2024-10-17 09:10:00,140.2000,140.3000,140.0100,140.0200,632086
2024-10-17 09:15:00,140.0199,140.1500,140.0000,140.0688,291645
2024-10-17 09:20:00,140.0400,140.0600,139.8000,139.9700,596675
2024-10-17 09:25:00,139.9900,139.9900,139.2300,139.3300,1238842
2024-10-17 09:30:00,139.3400,140.0000,138.5700,138.6300,16702879
2024-10-17 09:35:00,138.6397,138.7900,137.6500,138.5300,9962908
2024-10-17 09:40:00,138.5500,139.3299,138.2300,139.3299,7813749
2024-10-17 09:45:00,139.3100,139.7200,138.9300,139.6500,6184291
2024-10-17 09:50:00,139.6850,140.8900,139.5800,140.8350,16530502
2024-10-17 09:55:00,140.8340,140.8900,138.7100,138.8650,11174639
2024-10-17 10:00:00,138.8800,139.3500,138.1000,138.6900,8350581
2024-10-17 10:05:00,138.6901,138.9900,137.4200,137.5600,7469683
2024-10-17 10:10:00,137.5390,138.7500,137.3648,138.6980,6399206
2024-10-17 10:15:00,138.6916,139.2000,138.4200,139.1517,5035133
2024-10-17 10:20:00,139.1600,139.5200,138.9700,139.2800,5023212
2024-10-17 10:25:00,139.2501,139.7500,138.9100,139.6006,5321824
2024-10-17 10:30:00,139.6050,139.6900,139.3000,139.3800,3573878
2024-10-17 10:35:00,139.3701,139.6300,138.7300,139.0500,4635323
2024-10-17 10:40:00,139.0550,139.6100,138.7000,139.1450,7236590
2024-10-17 10:45:00,139.1500,139.3600,138.6100,138.9200,3078852
2024-10-17 10:50:00,138.9200,139.2100,138.3900,139.1250,3896461
2024-10-17 10:55:00,139.1300,139.3390,138.9600,139.1200,2609667
2024-10-17 11:00:00,139.1300,139.2400,138.6800,138.6950,2668237
2024-10-17 11:05:00,138.6950,139.1776,138.6000,139.1392,2445435
2024-10-17 11:10:00,139.1300,139.6100,138.9200,139.5501,3139609
2024-10-17 11:15:00,139.5600,139.5700,139.0500,139.2250,2526671
2024-10-17 11:20:00,139.2100,139.5000,138.5950,139.4894,2054193
2024-10-17 11:25:00,139.4800,139.7400,139.3200,139.6500,2833766
2024-10-17 11:30:00,139.6500,139.7800,139.3500,139.7150,2563562
2024-10-17 11:35:00,139.7200,139.9300,139.4700,139.7900,2785680
2024-10-17 11:40:00,139.7900,139.9500,139.6700,139.8564,2472567
2024-10-17 11:45:00,139.8600,139.9300,139.7600,139.8900,1822015
2024-10-17 11:50:00,139.8800,139.9800,139.7100,139.7220,2161070
2024-10-17 11:55:00,139.7100,140.1300,139.6200,140.1040,4620999
2024-10-17 12:00:00,140.1100,140.2520,139.9600,140.0999,3975990
2024-10-17 12:05:00,140.1000,140.2500,139.9800,140.0238,2223045
2024-10-17 12:10:00,140.0201,140.1000,139.6000,139.7550,2603631
2024-10-17 12:15:00,139.7500,139.8400,139.5500,139.8100,2387290
2024-10-17 12:20:00,139.8101,140.0000,139.7201,139.8387,1904225
2024-10-17 12:25:00,139.8300,139.8300,139.2200,139.4601,2825210
2024-10-17 12:30:00,139.4650,139.4650,138.8934,139.0700,2885872
2024-10-17 12:35:00,139.0800,139.3900,139.0400,139.2300,1946118
2024-10-17 12:40:00,139.2399,139.4700,139.2300,139.4193,1533222
2024-10-17 12:45:00,139.4150,139.4450,139.1200,139.3400,1302384
2024-10-17 12:50:00,139.3500,139.4300,139.1200,139.2900,1278228
2024-10-17 12:55:00,139.2850,139.3392,138.9101,139.0000,1780540
2024-10-17 13:00:00,139.0000,139.4400,138.9000,139.3350,2646289
2024-10-17 13:05:00,139.3350,139.6800,139.1800,139.5600,1938909
2024-10-17 13:10:00,139.5492,139.5900,139.4300,139.5750,1031238
2024-10-17 13:15:00,139.5771,139.6000,139.3300,139.3450,1071413
2024-10-17 13:20:00,139.3450,139.5398,139.3300,139.5000,1040785
2024-10-17 13:25:00,139.5006,139.6400,139.4900,139.5399,1242095
2024-10-17 13:30:00,139.5350,139.6900,139.4800,139.6550,1196822
2024-10-17 13:35:00,139.6500,139.8000,139.6200,139.7250,1317749
2024-10-17 13:40:00,139.7206,140.1200,139.7200,139.8911,1217950
2024-10-17 13:45:00,139.8950,139.9200,139.7500,139.8301,1203396
2024-10-17 13:50:00,139.8400,139.8550,139.5200,139.6350,1485512
2024-10-17 13:55:00,139.6300,139.6400,139.3800,139.5100,1322821
2024-10-17 14:00:00,139.5100,139.5800,139.1300,139.1900,1787683
2024-10-17 14:05:00,139.1900,139.2900,138.9500,138.9750,2588392
2024-10-17 14:10:00,138.9600,139.2000,138.6600,139.1550,3411250
2024-10-17 14:15:00,139.1500,139.1688,138.7202,138.8100,2138791
2024-10-17 14:20:00,138.8100,138.8971,138.3100,138.4500,3214385
